Date,Open,High,Low,Close,Adj Close,Volume
2017-01-18,6.160000,6.175000,6.093000,6.137000,5.060019,108035084
2017-01-19,6.166000,6.189000,6.088000,6.117000,5.043529,85487738
2017-01-20,6.138000,6.185000,6.100000,6.122000,5.047652,36164836
2017-01-23,6.072000,6.120000,6.010000,6.086000,5.017969,32722475
2017-01-24,6.110000,6.270000,6.093000,6.267000,5.167206,44258490
2017-01-25,6.350000,6.532000,6.340000,6.465000,5.330458,46973058
2017-01-26,6.522000,6.569000,6.387000,6.413000,5.287584,34914763
2017-01-27,6.405000,6.408000,6.275000,6.384000,5.263673,28575827
2017-01-30,6.338000,6.395000,6.299000,6.313000,5.205134,18157751
2017-01-31,6.324000,6.440000,6.271000,6.275000,5.173801,25278830
2017-02-01,6.420000,6.432000,6.101000,6.188000,5.102070,57064424
2017-02-02,6.150000,6.166000,6.065000,6.127000,5.051774,44245028
2017-02-03,6.170000,6.217000,6.120000,6.182000,5.097123,37690071
2017-02-06,6.216000,6.249000,6.100000,6.120000,5.046003,23254523
2017-02-07,6.100000,6.163000,6.051000,6.108000,5.036108,19695978
2017-02-08,6.155000,6.174000,5.916000,6.032000,4.973446,49043832
2017-02-09,6.040000,6.063000,5.955000,6.053000,4.990760,49844215
2017-02-10,6.117000,6.125000,5.950000,5.973000,4.924799,30270635
2017-02-13,6.001000,6.094000,5.945000,6.060000,4.996532,22224425
2017-02-14,6.071000,6.245000,6.036000,6.224000,5.131752,52411055
2017-02-15,6.360000,6.470000,6.350000,6.420000,5.293356,57833734
2017-02-16,6.400000,6.429000,6.281000,6.314000,5.205957,25294971
2017-02-17,6.323000,6.340000,6.179000,6.240000,5.144944,33666684
2017-02-20,6.297000,6.326000,6.232000,6.247000,5.150715,22118845
2017-02-21,6.222000,6.291000,6.145000,6.230000,5.136699,15577400
2017-02-22,6.231000,6.315000,6.115000,6.199000,5.111139,30509640
2017-02-23,6.218000,6.225000,6.114000,6.145000,5.066616,28695875
2017-02-24,6.160000,6.187000,6.007000,6.074000,5.008075,28972838
2017-02-27,6.090000,6.159000,6.080000,6.131000,5.055073,15711177
2017-02-28,6.154000,6.198000,6.115000,6.178000,5.093825,31188548
2017-03-01,6.220000,6.375000,6.216000,6.360000,5.243885,32617818
2017-03-02,6.362000,6.448000,6.311000,6.375000,5.256253,26860631
2017-03-03,6.370000,6.590000,6.340000,6.586000,5.430224,48236879
2017-03-06,6.555000,6.653000,6.531000,6.602000,5.443417,28217134
2017-03-07,6.592000,6.602000,6.529000,6.592000,5.435172,16726168
2017-03-08,6.599000,6.697000,6.576000,6.632000,5.468152,26414734
2017-03-09,6.608000,6.899000,6.607000,6.881000,5.673455,52657784
2017-03-10,6.897000,7.013000,6.821000,6.892000,5.682525,51039834
2017-03-13,6.899000,6.938000,6.811000,6.884000,5.675929,16862832
2017-03-14,6.899000,6.900000,6.773000,6.796000,5.603372,21699995
2017-03-15,6.793000,6.919000,6.793000,6.841000,5.640475,27586179
2017-03-16,6.977000,7.098000,6.931000,7.056000,5.817745,60788046
2017-03-17,7.086000,7.176000,7.056000,7.081000,5.838356,67175349
2017-03-20,7.042000,7.138000,7.020000,7.084000,5.840831,18424436
2017-03-21,7.164000,7.235000,7.087000,7.121000,5.871337,34580017
2017-03-22,7.063000,7.228000,6.970000,7.150000,5.895249,117249163
2017-03-23,7.170000,7.232000,7.105000,7.209000,5.943895,31287746
2017-03-24,7.157000,7.208000,7.134000,7.189000,5.927404,52763703
2017-03-27,7.067000,7.195000,7.043000,7.191000,5.929053,45987236
2017-03-28,7.210000,7.289000,7.193000,7.266000,5.990891,46609886
2017-03-29,7.290000,7.315000,7.121000,7.183000,5.922458,35157185
2017-03-30,7.177000,7.216000,7.118000,7.210000,5.944719,20032057
2017-03-31,7.180000,7.270000,7.141000,7.270000,5.994190,37177222
2017-04-03,7.146000,7.162000,6.935000,6.946000,5.832139,38870467
2017-04-04,6.949000,7.010000,6.847000,6.982000,5.862367,26742495
2017-04-05,7.000000,7.120000,6.996000,7.054000,5.922820,31863781
2017-04-06,6.965000,7.146000,6.940000,7.132000,5.988312,27129121
2017-04-07,7.087000,7.141000,7.028000,7.121000,5.979076,47359426
2017-04-10,7.101000,7.113000,7.020000,7.043000,5.913585,40586192
2017-04-11,6.991000,7.078000,6.970000,7.022000,5.895951,52551200
2017-04-12,7.060000,7.096000,6.911000,6.950000,5.835497,44883350
2017-04-13,6.940000,6.950000,6.801000,6.856000,5.756571,34749187
2017-04-18,6.870000,6.885000,6.744000,6.793000,5.703674,24913033
2017-04-19,6.812000,6.965000,6.803000,6.938000,5.825423,124232158
2017-04-20,6.931000,7.075000,6.909000,7.020000,5.894272,38413990
2017-04-21,7.060000,7.147000,6.963000,7.095000,5.957246,47690158
2017-04-24,7.499000,7.614000,7.390000,7.614000,6.393019,96462708
2017-04-25,7.650000,7.698000,7.525000,7.630000,6.406453,45236080
2017-04-26,7.700000,7.705000,7.523000,7.612000,6.391340,39533289
2017-04-27,7.550000,7.588000,7.345000,7.455000,6.259516,45616293
2017-04-28,7.377000,7.519000,7.300000,7.349000,6.170513,38041538
2017-05-02,7.348000,7.475000,7.343000,7.440000,6.246922,30394488
2017-05-03,7.460000,7.519000,7.426000,7.505000,6.301498,43928201
2017-05-04,7.565000,7.666000,7.530000,7.666000,6.436679,37916248
2017-05-05,7.643000,7.827000,7.606000,7.800000,6.549191,33002864
2017-05-08,7.870000,7.889000,7.670000,7.762000,6.517285,24237998
2017-05-09,7.770000,7.815000,7.605000,7.605000,6.385462,25130994
2017-05-10,7.553000,7.610000,7.462000,7.551000,6.340121,38199085
2017-05-11,7.571000,7.596000,7.385000,7.386000,6.201581,42860382
2017-05-12,7.400000,7.440000,7.329000,7.388000,6.203260,26452186
2017-05-15,7.449000,7.467000,7.372000,7.439000,6.246082,19980529
